"Timestamp","1. 당신의 MBTI는 무엇인가요?","2. 당신의 성별은?","3. 당신의 연령대는?","4. 당신의 직업은?","1. 혼자 여행을 가기로 해서 숙소를 잡았다. 그 숙소는?","2. 나에게 5000만원이 생겼다. 내가 투자할 주식 종목은?","3. 친구가 중요한 주식 정보를 주었다. 나의 행동은?","4. 친구가 갑자기 여행을 가자고 한다. 나의 행동은?","5. 비도 오고 마음도 우중충하고 심심하다. 그럴 때 나는?","6. 지나가는 사람이 길을 물어본다. 나의 행동은?","7. 친구가 준비한 시험에서 떨어졌다. 당신의 행동은?","8. 첫 소개팅 하는 날! 나는 무슨 옷을 입을 것인가?","9. 갑자기 번뜩이는 아이디어가 생겨났다. 언제인가?","10. 내가 생각하는 미래는?","11. 회사에 입사하게 되었을 때 내가 들어가고 싶은 팀은? ","12. 여행중 계획된 장소가 아닌 장소를 지나가게 됐다. 나의 행동은?","13. 오랜만에 내가 맛있는 과자를 발견했을 때 나는?","14. 첫 회사에 출근 후 친구가 회사에 대해 물어볼 때 나는?","15. 회의 도중 의견이 다를 때 나의 행동은?","16. 맛집을 찾아서 갔는데 가게 문이 닫혀 있다 나의 행동은?","17. 친구와 약속이 갑자기 취소됐다. 그럴 때 나는?","18. 회사에서 일을 하다가 인정받았다. 그 일은?","19. 길을 가다가 애인이 얘기한 물건을 보고 사서 선물했을 때 내 모습은?","20. 팀플에서 조장이 되었을 때 나는?","1. 인테리어에 얼마나 관심이 있으신가요?","2. 당신에게 집이란?","3. 집을 볼 때 가장 중요시하는 공간은 어디인가요?","4. 가장 좋아하는 색깔톤은 무엇인가요?","5. 인테리어에서 가장 중요하다 생각하는 것은 무엇인가요?","모던","북유럽","내추럴","빈티지","프로방스 / 로맨틱","클래식 / 앤틱","한국 / 아시아","유니크","MIX"
"2021/12/09 4:51:09 PM GMT+9","ESTP","남자","30대","직장인","나 혼자만의 공간인 호텔.","안전제일 삼성전자는 안 망하지!! 삼성전자!!","믿을만한 친구니까 친구따라 가즈아!","어디가는데?? 필요한 물건은?? 비용은??","아무나 불러서 술 마시고 논다.","지금 있는 곳에서 가는 법을 알려준다.","수고했다! 술이나 먹자!","오늘은 너로 정했다! 그날 끌리는 옷!","집에서 혼자 TV를 보다가.","미래를 생각하지 않으면 발전이 없다.","회사 내에서 성과가 좋고, 영향력이 있는 팀.","일정에 무리가 있으면 포기하고 일정대로 행동한다.","그냥 나만 사서 잘 먹는다.","전체적인 회사의 분위기를 말한다.","상대방이 기분 나쁘지 않게 돌려서 전달.","옆집도 맛있겠지 옆집으로 가자.","다른 친구를 불러서 논다.","주어진 업무를 완벽히 이행했을 때.","나는 기억력이 좋아.","각자 어떤 일을 해야할 지 구체적으로 정해준다.","3","쉬는 공간","거실","웜톤","기능","5","3","2","1","1","4","4","4","1"
"2021/12/09 4:51:18 PM GMT+9","ESTP","여자","20대","직장인","사람들과 함께 묵을 수 있는 게스트하우스.","안전제일 삼성전자는 안 망하지!! 삼성전자!!","그 회사는 내가 모르는 회사니까 패스.","오케이! 여행은 즉흥이지!","아무나 불러서 술 마시고 논다.","근처에 알만한 건물을 기준으로 설명한다.","수고했다! 술이나 먹자!","오늘은 너로 정했다! 그날 끌리는 옷!","친구들과 같이 길을 가다가.","현재가 없으면 미래가 없다.","회사 내에서 성과가 좋고, 영향력이 있는 팀.","일정에 무리가 있어도 궁금하면 가본다.","가족, 친구, 지인에게 소개한다.","구체적으로 오늘 있었던 일들을 나열한다.","나의 생각과 논리가 맞다는 것을 우선적으로 증명.","아 열받어…. 그냥 아무데나 가자.","다른 친구를 불러서 논다.","주어진 업무를 완벽히 이행했을 때.","나는 기억력이 좋아.","각자 어떤 일을 해야할 지 구체적으로 정해준다.","4","쉬는 공간","개인방","웜톤","무드","5","4","5","3","4","1","4","1","1"
"2021/12/09 4:53:18 PM GMT+9","INTJ","남자","30대","직장인","나 혼자만의 공간인 호텔.","조만간 자동차는 전기차로 전부 바뀔거야 테슬라!!","믿을만한 친구니까 친구따라 가즈아!","어디가는데?? 필요한 물건은?? 비용은??","집에서 혼술과 TV를 본다.","지금 있는 곳에서 가는 법을 알려준다.","수고했다! 술이나 먹자!","이미 어제 준비해놨지!","집에서 혼자 TV를 보다가.","현재가 없으면 미래가 없다.","회사 내에서 성과가 좋고, 영향력이 있는 팀.","일정에 무리가 있어도 궁금하면 가본다.","그냥 나만 사서 잘 먹는다.","구체적으로 오늘 있었던 일들을 나열한다.","상대방이 기분 나쁘지 않게 돌려서 전달.","아 열받어…. 그냥 아무데나 가자.","혼자 돌아다니다 집으로 간다.","주어진 업무를 완벽히 이행했을 때.","나는 기억력이 좋아.","각자 어떤 일을 해야할 지 구체적으로 정해준다.","4","쉬는 공간","개인방","모노톤","무드","4","3","3","2","2","2","4","3","3"
"2021/12/09 4:53:27 PM GMT+9","모름","남자","30대","직장인","사람들과 함께 묵을 수 있는 게스트하우스.","조만간 자동차는 전기차로 전부 바뀔거야 테슬라!!","믿을만한 친구니까 친구따라 가즈아!","오케이! 여행은 즉흥이지!","집에서 혼술과 TV를 본다.","지금 있는 곳에서 가는 법을 알려준다.","수고했다! 술이나 먹자!","이미 어제 준비해놨지!","집에서 혼자 TV를 보다가.","현재가 없으면 미래가 없다.","회사 내에서 성과가 좋고, 영향력이 있는 팀.","일정에 무리가 있어도 궁금하면 가본다.","가족, 친구, 지인에게 소개한다.","구체적으로 오늘 있었던 일들을 나열한다.","상대방이 기분 나쁘지 않게 돌려서 전달.","아 열받어…. 그냥 아무데나 가자.","혼자 돌아다니다 집으로 간다.","새로운 아이디어를 냈을 때.","나는 기억력이 좋아.","조원들에게 목표를 제시하고 의견을 듣는다.","3","별 생각 없음","개인방","우드톤","디자인","4","4","4","4","3","3","4","3","3"
"2021/12/09 4:54:21 PM GMT+9","INFJ","남자","30대","직장인","나 혼자만의 공간인 호텔.","조만간 자동차는 전기차로 전부 바뀔거야 테슬라!!","그 회사는 내가 모르는 회사니까 패스.","어디가는데?? 필요한 물건은?? 비용은??","아무나 불러서 술 마시고 논다.","지금 있는 곳에서 가는 법을 알려준다.","수고했다! 술이나 먹자!","이미 어제 준비해놨지!","친구들과 같이 길을 가다가.","미래를 생각하지 않으면 발전이 없다.","회사 내에서 가장 신뢰 받고 인망이 좋은 팀.","일정에 무리가 있어도 궁금하면 가본다.","가족, 친구, 지인에게 소개한다.","전체적인 회사의 분위기를 말한다.","나의 생각과 논리가 맞다는 것을 우선적으로 증명.","옆집도 맛있겠지 옆집으로 가자.","다른 친구를 불러서 논다.","주어진 업무를 완벽히 이행했을 때.","나는 기억력이 좋아.","조원들에게 목표를 제시하고 의견을 듣는다.","4","쉬는 공간","거실","웜톤","디자인","4","5","4","3","5","4","4","2","4"
"2021/12/09 4:55:01 PM GMT+9","ENTP","남자","30대","직장인","나 혼자만의 공간인 호텔.","조만간 자동차는 전기차로 전부 바뀔거야 테슬라!!","믿을만한 친구니까 친구따라 가즈아!","오케이! 여행은 즉흥이지!","아무나 불러서 술 마시고 논다.","근처에 알만한 건물을 기준으로 설명한다.","수고했다! 술이나 먹자!","오늘은 너로 정했다! 그날 끌리는 옷!","친구들과 같이 길을 가다가.","현재가 없으면 미래가 없다.","회사 내에서 가장 신뢰 받고 인망이 좋은 팀.","일정에 무리가 있어도 궁금하면 가본다.","가족, 친구, 지인에게 소개한다.","전체적인 회사의 분위기를 말한다.","상대방이 기분 나쁘지 않게 돌려서 전달.","옆집도 맛있겠지 옆집으로 가자.","다른 친구를 불러서 논다.","새로운 아이디어를 냈을 때.","나는 기억력이 좋아.","조원들에게 목표를 제시하고 의견을 듣는다.","3","쉬는 공간","서재","모노톤","디자인","5","3","3","2","2","4","5","1","3"
"2021/12/09 4:55:32 PM GMT+9","모름","남자","30대","직장인","나 혼자만의 공간인 호텔.","안전제일 삼성전자는 안 망하지!! 삼성전자!!","그 회사는 내가 모르는 회사니까 패스.","어디가는데?? 필요한 물건은?? 비용은??","집에서 혼술과 TV를 본다.","근처에 알만한 건물을 기준으로 설명한다.","수고했다! 술이나 먹자!","이미 어제 준비해놨지!","집에서 혼자 TV를 보다가.","현재가 없으면 미래가 없다.","회사 내에서 성과가 좋고, 영향력이 있는 팀.","일정에 무리가 있어도 궁금하면 가본다.","그냥 나만 사서 잘 먹는다.","전체적인 회사의 분위기를 말한다.","상대방이 기분 나쁘지 않게 돌려서 전달.","아 열받어…. 그냥 아무데나 가자.","혼자 돌아다니다 집으로 간다.","주어진 업무를 완벽히 이행했을 때.","나는 기억력이 좋아.","각자 어떤 일을 해야할 지 구체적으로 정해준다.","4","자는 공간","개인방","모노톤","기능","5","4","4","2","2","4","4","1","1"
"2021/12/09 4:55:47 PM GMT+9","ENTJ","남자","20대","직장인","나 혼자만의 공간인 호텔.","조만간 자동차는 전기차로 전부 바뀔거야 테슬라!!","그 회사는 내가 모르는 회사니까 패스.","어디가는데?? 필요한 물건은?? 비용은??","아무나 불러서 술 마시고 논다.","지금 있는 곳에서 가는 법을 알려준다.","왜?? 무슨 문제있었어? 컨디션이 별로였나보네...","이미 어제 준비해놨지!","친구들과 같이 길을 가다가.","미래를 생각하지 않으면 발전이 없다.","회사 내에서 성과가 좋고, 영향력이 있는 팀.","일정에 무리가 있으면 포기하고 일정대로 행동한다.","그냥 나만 사서 잘 먹는다.","전체적인 회사의 분위기를 말한다.","나의 생각과 논리가 맞다는 것을 우선적으로 증명.","옆집도 맛있겠지 옆집으로 가자.","다른 친구를 불러서 논다.","주어진 업무를 완벽히 이행했을 때.","나는 섬세한 사람이야.","각자 어떤 일을 해야할 지 구체적으로 정해준다.","2","쉬는 공간","거실","쿨톤","기능","5","3","4","1","2","2","2","1","2"
"2021/12/09 4:58:01 PM GMT+9","INFP","여자","20대","직장인","나 혼자만의 공간인 호텔.","안전제일 삼성전자는 안 망하지!! 삼성전자!!","믿을만한 친구니까 친구따라 가즈아!","어디가는데?? 필요한 물건은?? 비용은??","집에서 혼술과 TV를 본다.","지금 있는 곳에서 가는 법을 알려준다.","수고했다! 술이나 먹자!","이미 어제 준비해놨지!","집에서 혼자 TV를 보다가.","현재가 없으면 미래가 없다.","회사 내에서 가장 신뢰 받고 인망이 좋은 팀.","일정에 무리가 있어도 궁금하면 가본다.","가족, 친구, 지인에게 소개한다.","전체적인 회사의 분위기를 말한다.","상대방이 기분 나쁘지 않게 돌려서 전달.","옆집도 맛있겠지 옆집으로 가자.","혼자 돌아다니다 집으로 간다.","주어진 업무를 완벽히 이행했을 때.","나는 섬세한 사람이야.","조원들에게 목표를 제시하고 의견을 듣는다.","5","쉬는 공간","부엌","우드톤","무드","4","5","5","2","2","2","4","1","2"
"2021/12/09 4:58:37 PM GMT+9","ISFP","여자","30대","프리랜서","나 혼자만의 공간인 호텔.","조만간 자동차는 전기차로 전부 바뀔거야 테슬라!!","그 회사는 내가 모르는 회사니까 패스.","어디가는데?? 필요한 물건은?? 비용은??","집에서 혼술과 TV를 본다.","지금 있는 곳에서 가는 법을 알려준다.","수고했다! 술이나 먹자!","이미 어제 준비해놨지!","집에서 혼자 TV를 보다가.","미래를 생각하지 않으면 발전이 없다.","회사 내에서 가장 신뢰 받고 인망이 좋은 팀.","일정에 무리가 있으면 포기하고 일정대로 행동한다.","가족, 친구, 지인에게 소개한다.","전체적인 회사의 분위기를 말한다.","나의 생각과 논리가 맞다는 것을 우선적으로 증명.","옆집도 맛있겠지 옆집으로 가자.","혼자 돌아다니다 집으로 간다.","주어진 업무를 완벽히 이행했을 때.","나는 섬세한 사람이야.","각자 어떤 일을 해야할 지 구체적으로 정해준다.","4","쉬는 공간","개인방","우드톤","기능","4","5","4","4","3","4","3","1","2"
"2021/12/09 4:58:55 PM GMT+9","ISFP","남자","20대","직장인","나 혼자만의 공간인 호텔.","안전제일 삼성전자는 안 망하지!! 삼성전자!!","그 회사는 내가 모르는 회사니까 패스.","오케이! 여행은 즉흥이지!","집에서 혼술과 TV를 본다.","지금 있는 곳에서 가는 법을 알려준다.","수고했다! 술이나 먹자!","이미 어제 준비해놨지!","친구들과 같이 길을 가다가.","현재가 없으면 미래가 없다.","회사 내에서 가장 신뢰 받고 인망이 좋은 팀.","일정에 무리가 있어도 궁금하면 가본다.","가족, 친구, 지인에게 소개한다.","전체적인 회사의 분위기를 말한다.","상대방이 기분 나쁘지 않게 돌려서 전달.","옆집도 맛있겠지 옆집으로 가자.","혼자 돌아다니다 집으로 간다.","주어진 업무를 완벽히 이행했을 때.","나는 섬세한 사람이야.","조원들에게 목표를 제시하고 의견을 듣는다.","5","쉬는 공간","화장실","쿨톤","기능","5","3","4","3","1","3","5","3","2"
"2021/12/09 4:59:47 PM GMT+9","ISTP","남자","20대","직장인","사람들과 함께 묵을 수 있는 게스트하우스.","안전제일 삼성전자는 안 망하지!! 삼성전자!!","그 회사는 내가 모르는 회사니까 패스.","오케이! 여행은 즉흥이지!","아무나 불러서 술 마시고 논다.","근처에 알만한 건물을 기준으로 설명한다.","수고했다! 술이나 먹자!","이미 어제 준비해놨지!","친구들과 같이 길을 가다가.","미래를 생각하지 않으면 발전이 없다.","회사 내에서 성과가 좋고, 영향력이 있는 팀.","일정에 무리가 있으면 포기하고 일정대로 행동한다.","가족, 친구, 지인에게 소개한다.","구체적으로 오늘 있었던 일들을 나열한다.","상대방이 기분 나쁘지 않게 돌려서 전달.","옆집도 맛있겠지 옆집으로 가자.","혼자 돌아다니다 집으로 간다.","주어진 업무를 완벽히 이행했을 때.","나는 기억력이 좋아.","조원들에게 목표를 제시하고 의견을 듣는다.","1","자는 공간","개인방","쿨톤","브랜드","2","2","2","3","3","3","3","3","3"
"2021/12/09 4:59:47 PM GMT+9","ESFJ","여자","20대","직장인","나 혼자만의 공간인 호텔.","조만간 자동차는 전기차로 전부 바뀔거야 테슬라!!","믿을만한 친구니까 친구따라 가즈아!","어디가는데?? 필요한 물건은?? 비용은??","집에서 혼술과 TV를 본다.","지금 있는 곳에서 가는 법을 알려준다.","왜?? 무슨 문제있었어? 컨디션이 별로였나보네...","이미 어제 준비해놨지!","집에서 혼자 TV를 보다가.","현재가 없으면 미래가 없다.","회사 내에서 성과가 좋고, 영향력이 있는 팀.","일정에 무리가 있으면 포기하고 일정대로 행동한다.","가족, 친구, 지인에게 소개한다.","전체적인 회사의 분위기를 말한다.","상대방이 기분 나쁘지 않게 돌려서 전달.","옆집도 맛있겠지 옆집으로 가자.","혼자 돌아다니다 집으로 간다.","주어진 업무를 완벽히 이행했을 때.","나는 섬세한 사람이야.","조원들에게 목표를 제시하고 의견을 듣는다.","4","쉬는 공간","개인방","모노톤","무드","5","2","4","2","3","4","4","1","3"
